xorg-server,X 服务器,必装
i3,平铺窗口管理器,必装
dmenu,应用启动菜单,必装
sddm,登录管理器,必装
sddm-sugar-dark,SDDM 主题,默认
konsole,KDE 终端,默认
tmux,终端复用器,默认
yakuake,下拉式终端,可选
